child_id,age_in_months,vocabulary_item_definition,item_category,production_ability,comprehension_ability
1,12,PULL,action_words,NA,NA
1,12,PUSH,action_words,NA,NA
1,12,PUT,action_words,NA,NA
1,12,READ,action_words,NA,NA
1,12,RIDE-IN,action_words,NA,NA
1,12,RUN,action_words,NA,NA
1,12,SAY,action_words,NA,NA
1,12,SEARCH-FOR,action_words,NA,NA
1,12,SEE,action_words,NA,NA
1,12,SHAKE,action_words,NA,NA
1,12,SHARE,action_words,NA,NA
1,12,SHOW,action_words,NA,NA
1,12,SIGN,action_words,NA,NA
1,12,SIT,action_words,NA,NA
1,12,SKATE,action_words,NA,NA
1,12,SLEEP,action_words,NA,NA
1,12,SLIDE,action_words,NA,NA
1,12,SMILE,action_words,NA,NA
1,12,SPILL,action_words,NA,NA
1,12,STAND,action_words,NA,NA
1,12,STAY,action_words,NA,NA
1,12,STOP,action_words,NA,NA
1,12,SWIM,action_words,NA,NA
1,12,SWING,action_words,NA,NA
1,12,TAKE-PILL,action_words,NA,NA
1,12,TALK,action_words,NA,NA
1,12,TASTE,action_words,NA,NA
1,12,TEACH,action_words,NA,NA
1,12,TEAR/RIP,action_words,NA,NA
1,12,TELL,action_words,NA,NA
1,12,THINK,action_words,NA,NA
1,12,THROW,action_words,NA,NA
1,12,TOUCH,action_words,NA,NA
1,12,WAIT,action_words,NA,NA
1,12,WALK,action_words,NA,NA
1,12,WASH,action_words,NA,NA
1,12,WATCH,action_words,NA,NA
1,12,WORK,action_words,NA,NA
1,12,BASEMENT,furniture_rooms,NA,NA
1,12,BATHROOM/TOILET,furniture_rooms,NA,NA
1,12,BATHTUB,furniture_rooms,NA,NA
1,12,BED,furniture_rooms,NA,NA
1,12,BEDROOM,furniture_rooms,no,yes
1,12,CLOSET,furniture_rooms,NA,NA
1,12,DOOR,furniture_rooms,NA,NA
1,12,DRAWER,furniture_rooms,no,yes
1,12,DRYER,furniture_rooms,NA,NA
1,12,GARAGE,furniture_rooms,NA,NA
1,12,KITCHEN,furniture_rooms,no,yes
1,12,LIVING ROOM,furniture_rooms,NA,NA
1,12,MIRROR,furniture_rooms,no,yes
1,12,REFRIGERATOR,furniture_rooms,NA,NA
1,12,ROCKING CHAIR,furniture_rooms,no,yes
1,12,ROOM,furniture_rooms,no,yes
1,12,SHOWER,furniture_rooms,no,yes
1,12,STAIRS,furniture_rooms,NA,NA
1,12,TABLE,furniture_rooms,NA,NA
1,12,TV,furniture_rooms,no,yes
1,12,WASH MACHINE,furniture_rooms,NA,NA
1,12,WINDOW,furniture_rooms,no,yes
1,12,BALL,toys,no,yes
1,12,BALLOON,toys,no,yes
1,12,BAT,toys,NA,NA
1,12,BOOK,toys,no,yes
1,12,BUBBLES,toys,NA,NA
1,12,DOLL,toys,NA,NA
1,12,GAME,toys,NA,NA
1,12,PENCIL,toys,NA,NA
1,12,PRESENT/GIFT,toys,NA,NA
1,12,PUZZLE,toys,NA,NA
1,12,ROBOT,toys,NA,NA
1,12,TOY,toys,no,yes
1,12,AUNT,people,NA,NA
1,12,BABY,people,NA,NA
1,12,BABYSITTER,people,NA,NA
1,12,BOY,people,NA,NA
1,12,BROTHER,people,NA,NA
1,12,CHILD/KID,people,NA,NA
1,12,Child's Own Name,people,no,yes
1,12,CLOWN,people,NA,NA
1,12,COWBOY,people,NA,NA
1,12,COUSIN,people,NA,NA
1,12,DADDY,people,no,yes
1,12,DOCTOR,people,NA,NA
1,12,FIREMAN,people,NA,NA
1,12,FRIEND,people,NA,NA
1,12,GIRL,people,NA,NA
1,12,GRANDMA,people,NA,NA
1,12,GRANDPA,people,NA,NA
1,12,INDIAN,people,NA,NA
1,12,MAILMAN,people,NA,NA
1,12,MAN,people,NA,NA
1,12,MOMMY,people,no,yes
1,12,MONSTER,people,NA,NA
1,12,NAME SIGNS,people,yes,no
1,12,NURSE,people,NA,NA
1,12,PEOPLE,people,NA,NA
1,12,POLICE,people,NA,NA
1,12,SANTA CLAUS,people,NA,NA
1,12,SISTER,people,NA,NA
1,12,TEACHER,people,NA,NA
1,12,UNCLE,people,NA,NA
1,12,WOMAN,people,NA,NA
1,12,APPLE,food_drink,NA,NA
1,12,BAGEL,food_drink,NA,NA
1,12,BANANA,food_drink,NA,NA
1,12,BEANS,food_drink,NA,NA
1,12,BREAD,food_drink,no,yes
1,12,BUTTER,food_drink,NA,NA
1,12,CAKE,food_drink,NA,NA
1,12,CANDY,food_drink,NA,NA
1,12,CARROT,food_drink,NA,NA
1,12,CEREAL,food_drink,NA,NA
1,12,CHEESE,food_drink,NA,NA
1,12,CHOCOLATE,food_drink,NA,NA
1,12,COFFEE,food_drink,no,yes
1,12,COKE,food_drink,NA,NA
1,12,COOKIE,food_drink,NA,NA
1,12,CORN,food_drink,NA,NA
1,12,CRACKER,food_drink,no,yes
1,12,CREAM CHEESE,food_drink,NA,NA
1,12,DONUT,food_drink,NA,NA
1,12,EGG,food_drink,NA,NA
1,12,FRENCH FRIES,food_drink,NA,NA
1,12,GRAPES,food_drink,NA,NA
1,12,GREEN BEANS,food_drink,NA,NA
1,12,GUM,food_drink,NA,NA
1,12,HAMBURGER,food_drink,NA,NA
1,12,HOT DOG,food_drink,NA,NA
1,12,ICE,food_drink,NA,NA
1,12,ICE CREAM,food_drink,NA,NA
1,12,JELLY,food_drink,NA,NA
1,12,JUICE,food_drink,NA,NA
1,12,LOLLIPOP,food_drink,NA,NA
1,12,MEAT,food_drink,NA,NA
1,12,MILK,food_drink,NA,NA
1,12,NUT,food_drink,NA,NA
1,12,ORANGE,food_drink,NA,NA
1,12,PANCAKE,food_drink,NA,NA
1,12,PEANUT BUTTER,food_drink,NA,NA
1,12,PIZZA,food_drink,NA,NA
1,12,POPSICLE,food_drink,NA,NA
1,12,POTATO,food_drink,NA,NA
1,12,POTATO CHIPS,food_drink,NA,NA
1,12,PUMPKIN,food_drink,NA,NA
1,12,SALAD,food_drink,NA,NA
1,12,SALT,food_drink,NA,NA
1,12,SANDWICH,food_drink,NA,NA
1,12,SAUCE,food_drink,NA,NA
1,12,SODA/POP,food_drink,NA,NA
1,12,SOUP,food_drink,NA,NA
1,12,SPAGHETTI,food_drink,NA,NA
1,12,STRAWBERRY,food_drink,NA,NA
1,12,SYRUP,food_drink,NA,NA
1,12,TEA,food_drink,NA,NA
1,12,TOAST,food_drink,NA,NA
1,12,TOMATO,food_drink,NA,NA
1,12,VANILLA,food_drink,NA,NA
1,12,VITAMINS,food_drink,NA,NA
1,12,WAFFLE,food_drink,NA,NA
1,12,WATER,food_drink,NA,NA
1,12,WATERMELON,food_drink,NA,NA
1,12,ABOVE,locations,NA,NA
1,12,BACK,locations,NA,NA
1,12,BEHIND,locations,NA,NA
1,12,DOWN,locations,NA,NA
1,12,FOR,locations,NA,NA
1,12,FRONT,locations,NA,NA
1,12,HERE,locations,NA,NA
1,12,INSIDE/IN,locations,NA,NA
1,12,NEXT-TO,locations,NA,NA
1,12,OFF,locations,NA,NA
1,12,ON,locations,NA,NA
1,12,OUT,locations,NA,NA
1,12,OVER,locations,NA,NA
1,12,TO,locations,NA,NA
1,12,UNDER,locations,NA,NA
1,12,UP,locations,NA,NA
1,12,WITH,locations,NA,NA
1,12,BACKYARD/YARD,outside,NA,NA
1,12,CLOUD,outside,no,yes
1,12,FLAG,outside,NA,NA
1,12,FLOWER,outside,no,yes
1,12,FOREST,outside,NA,NA
1,12,GRASS,outside,NA,NA
1,12,HOSE,outside,NA,NA
1,12,LADDER,outside,NA,NA
1,12,LAWN MOWER,outside,NA,NA
1,12,LIGHTNING,outside,NA,NA
1,12,MOON,outside,yes,no
1,12,RAIN,outside,yes,no
1,12,ROCK,outside,NA,NA
1,12,SHOVEL,outside,NA,NA
1,12,SNOW,outside,NA,NA
1,12,SNOWMAN,outside,NA,NA
1,12,SPRINKLER,outside,NA,NA
1,12,STAR,outside,no,yes
1,12,STREET,outside,NA,NA
1,12,SUN,outside,yes,no
1,12,TREE,outside,yes,no
1,12,WIND/WINDY,outside,yes,no
1,12,HE/SHE/IT,pronouns,NA,NA
1,12,HIS/HERS,pronouns,NA,NA
1,12,ME,pronouns,NA,NA
1,12,MINE/MY,pronouns,NA,NA
1,12,MYSELF,pronouns,NA,NA
1,12,OUR,pronouns,NA,NA
1,12,THAT/THESE,pronouns,NA,NA
1,12,THEIR,pronouns,NA,NA
1,12,THEY,pronouns,NA,NA
1,12,WE,pronouns,NA,NA
1,12,YOU,pronouns,NA,NA
1,12,YOUR,pronouns,NA,NA
1,12,YOURSELF,pronouns,NA,NA
1,12,BEACH,outside,NA,NA
1,12,CAMPING,outside,NA,NA
1,12,CHURCH,outside,NA,NA
1,12,CIRCUS,outside,NA,NA
1,12,COUNTRY,outside,NA,NA
1,12,FARM,outside,NA,NA
1,12,GAS STATION,outside,NA,NA
1,12,HOME,outside,NA,NA
1,12,HOUSE,outside,no,yes
1,12,McDONALD'S,outside,NA,NA
1,12,MOVIE,outside,NA,NA
1,12,OUTSIDE,outside,no,yes
1,12,PARTY,outside,no,yes
1,12,PICNIC,outside,NA,NA
1,12,PLAYGROUND,outside,no,yes
1,12,RESTAURANT,outside,NA,NA
1,12,SCHOOL,outside,yes,no
1,12,STORE,outside,yes,no
1,12,TOWN,outside,NA,NA
1,12,ZOO,outside,NA,NA
1,12,DO-DO,question_words,NA,NA
1,12,FOR-FOR,question_words,NA,NA
1,12,HOW,question_words,NA,NA
1,12,WHAT,question_words,NA,NA
1,12,WHERE,question_words,yes,no
1,12,WHICH,question_words,NA,NA
1,12,WHO,question_words,NA,NA
1,12,WHY,question_words,NA,NA
1,12,BAND-AID,household,NA,NA
1,12,BASKET,household,NA,NA
1,12,BLANKET,household,yes,no
1,12,BOTTLE,household,yes,no
1,12,BOWL,household,NA,NA
1,12,BOX,household,NA,NA
1,12,BROOM,household,NA,NA
1,12,BRUSH,household,NA,NA
1,12,CAMERA,household,NA,NA
1,12,CENT/COIN,household,NA,NA
1,12,COMB,household,no,yes
1,12,FORK,household,NA,NA
1,12,GLASS,household,NA,NA
1,12,HAMMER,household,NA,NA
1,12,KEYS,household,no,yes
1,12,KNIFE,household,NA,NA
1,12,LETTER,household,NA,NA
1,12,MEDICINE,household,NA,NA
1,12,MONEY,household,NA,NA
1,12,MOP,household,NA,NA
1,12,NAPKIN,household,NA,NA
1,12,NEWSPAPER,household,no,yes
1,12,PAPER,household,NA,NA
1,12,PICTURE,household,no,yes
1,12,PLANT,household,NA,NA
1,12,PLATE,household,no,yes
1,12,PURSE,household,NA,NA
1,12,RADIO,household,NA,NA
1,12,SCISSORS,household,NA,NA
1,12,SOAP,household,no,yes
